company_id,type,message,confidence_pct
VBL,Positive OCF,Business generates positive operating cash flow from core operations.,95
VBL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
VBL,Financing Inflow,Company received positive cash from financing activities.,85
VBL,Positive Net Cash,Overall cash position improved during the year.,90
VBL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
VBL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
VBL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ABB,Positive OCF,Business generates positive operating cash flow from core operations.,95
ABB,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ABB,Positive Net Cash,Overall cash position improved during the year.,90
ABB,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ABB,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ABB,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ADANIENSOL,Positive OCF,Business generates positive operating cash flow from core operations.,95
ADANIENSOL,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ADANIENSOL,Positive Net Cash,Overall cash position improved during the year.,90
ADANIENSOL,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ADANIENSOL,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ADANIENSOL,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ADANIENT,Positive OCF,Business generates positive operating cash flow from core operations.,95
ADANIENT,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ADANIENT,Financing Inflow,Company received positive cash from financing activities.,85
ADANIENT,Positive Net Cash,Overall cash position improved during the year.,90
ADANIENT,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ADANIENT,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ADANIENT,External Funding,Large financing inflow indicates debt or equity funding.,85
ADANIENT,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ADANIGREEN,Positive OCF,Business generates positive operating cash flow from core operations.,95
ADANIGREEN,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
ADANIGREEN,Financing Inflow,Company received positive cash from financing activities.,85
ADANIGREEN,Positive Net Cash,Overall cash position improved during the year.,90
ADANIGREEN,Strong OCF,"Operating cash flow is strong, indicating excellent cash generation capability.",95
ADANIGREEN,Expansion Phase,Large investing cash outflow suggests expansion or significant capital expenditure.,90
ADANIGREEN,External Funding,Large financing inflow indicates debt or equity funding.,85
ADANIGREEN,Healthy Cash Flow,Positive operating cash flow combined with investment in assets reflects a healthy business pattern.,95
ADANIPORTS,Positive OCF,Business generates positive operating cash flow from core operations.,95
ADANIPORTS,Capital Investment,Company is investing cash into long-term assets or business expansion.,90
