company_id,type,rule_id,text,confidence_pct
ABB,con,CON_12,Book value per share is relatively low compared with earnings per share.,75
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
ABB,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden.,95
ABB,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
ABB,pro,PRO_07,Very high interest coverage reflects negligible financial stress from debt servicing.,90
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ABB,pro,PRO_10,Business quality metrics have strengthened consistently over recent years.,80
ABB,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
ABB,pro,PRO_12,Efficient utilization of assets supports sustainable business growth.,80
ADANIENSOL,con,CON_01,Debt-to-equity ratio of 2.93 is elevated and warrants monitoring.,95
ADANIENSOL,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
ADANIENSOL,con,CON_10,Low asset turnover indicates inefficient utilization of company assets.,80
ADANIENSOL,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
ADANIENSOL,pro,PRO_02,Strong free cash flow generation signals healthy business fundamentals.,90
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIENT,con,CON_02,Negative free cash flow raises concern about cash generation quality.,90
ADANIENT,con,CON_07,Return on equity below 10% indicates weak shareholder returns.,85
ADANIENT,con,CON_11,"Free cash flow is significantly lower than operating cash flow, indicating heavy capital expenditure.",85
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,90
ADANIENT,pro,PRO_06,Net profit compounding above 20% over 5 years creates significant shareholder value.,95
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding.,90
ADANIENT,pro,PRO_11,Profit growth outpacing revenue reflects improving operating leverage and scale benefits.,85
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.60 is elevated and warrants monitoring.,95
